file,url
novapolis-dev\integrations\mcp-openai-eval\.venv\Lib\site-packages\starlette-0.49.3.dist-info\licenses\LICENSE.md,https://www.encode.io/
novapolis-dev\integrations\mcp-openai-eval\.venv\Lib\site-packages\httpx-0.28.1.dist-info\licenses\LICENSE.md,https://www.encode.io/
novapolis-dev\integrations\mcp-openai-eval\.venv\Lib\site-packages\httpcore-1.0.9.dist-info\licenses\LICENSE.md,https://www.encode.io/
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/actions/workflows/tests.yml/badge.svg
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/actions/workflows/tests.yml
node_modules\pyright\dist\typeshed-fallback\README.md,https://gitter.im/python/typing](https://badges.gitter.im/python/typing.svg
node_modules\pyright\dist\typeshed-fallback\README.md,https://gitter.im/python/typing?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge
node_modules\pyright\dist\typeshed-fallback\README.md,https://img.shields.io/badge/pull%20requests-welcome-brightgreen.svg
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/blob/main/CONTRIBUTING.md
node_modules\pyright\dist\typeshed-fallback\README.md,https://typing.readthedocs.io/en/latest/.
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/mypy/
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/microsoft/pyright
node_modules\pyright\dist\typeshed-fallback\README.md,http://www.python.org/dev/peps/pep-0561/
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/typeshed-internal/stub_uploader
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/tree/main/stdlib/_typeshed
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typeshed/issues
node_modules\pyright\dist\typeshed-fallback\README.md,https://github.com/python/typing/discussions
node_modules\pyright\dist\typeshed-fallback\README.md,https://gitter.im/python/typing
eval\results\tmp_summaries\summary_20251110_0024_scripts_heuristic.md,http://localhost:8000/chat`
eval\results\tmp_summaries\summary_ALL_20251110_0024_MIXED.md,http://localhost:8000/chat`
.venv\Lib\site-packages\package_readme.md,"https://i.imgur.com/dQLeGCc.png"""
.venv\Lib\site-packages\package_readme.md,"https://pypi.python.org/pypi/wandb""><img"
.venv\Lib\site-packages\package_readme.md,"https://img.shields.io/pypi/v/wandb"""
.venv\Lib\site-packages\package_readme.md,"https://anaconda.org/conda-forge/wandb""><img"
.venv\Lib\site-packages\package_readme.md,"https://img.shields.io/conda/vn/conda-forge/wandb"""
.venv\Lib\site-packages\package_readme.md,"https://pypi.python.org/pypi/wandb""><img"
.venv\Lib\site-packages\package_readme.md,"https://img.shields.io/pypi/pyversions/wandb"""
.venv\Lib\site-packages\package_readme.md,"https://circleci.com/gh/wandb/wandb""><img"
.venv\Lib\site-packages\package_readme.md,"https://img.shields.io/circleci/build/github/wandb/wandb/main"""
.venv\Lib\site-packages\package_readme.md,"https://codecov.io/gh/wandb/wandb""><img"
.venv\Lib\site-packages\package_readme.md,"https://img.shields.io/codecov/c/gh/wandb/wandb"""
.venv\Lib\site-packages\package_readme.md,"https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases.ipynb""><img"
